Data;Piso;Posição;Observação;;;;
03/12/2024;2;6408;um cabo conectado na porta da frente;;;;
03/12/2024;3;1575;sem cabo de intelbraz;;;;
03/12/2024;3;1638;um cabo conectado na porta da frente;;;;
03/12/2024;3;1637;cabo intelbraz largado na mesa e não está lacrado direito;;;;
03/12/2024;3;1636;Calha levantada;;;;
03/12/2024;3;1652;um cabo conectado na porta da frente;;;;
03/12/2024;3;1654;um cabo conectado na porta da frente;;;;
03/12/2024;3;1655;um cabo conectado na porta da frente;;;;
03/12/2024;3;1659;um cabo conectado na porta da frente;;;;
03/12/2024;3;1360;um cabo conectado na porta da frente;;;;
03/12/2024;3;1469;ramal não lacrado;;;;
03/12/2024;3;1452;dois cabos conectados na porta da frente e máquina não lacrada direito;;;;
03/12/2024;3;1453;sem cabo A10;;;;
03/12/2024;3;1455;um cabo conectado na porta da frente;;;;
03/12/2024;3;1645;um cabo conectado na porta da frente;;;;
03/12/2024;3;1394;cabo de fonte do ramal e um cabo AC do monitor não estava conectado na tomada;;;;
03/12/2024;3;1389;um cabo conectado na porta da frente;;;;
03/12/2024;3;1382;sem cabo A10;;;;
03/12/2024;3;1384;um cabo conectado na porta da frente;;;;
03/12/2024;3;1243;sem cabo A10;;;;
03/12/2024;3;1242;sem cabo A10;;;;
03/12/2024;3;1241;sem cabo A10;;;;
03/12/2024;3;1240;sem cabo A10;;;;
03/12/2024;3;1238;sem cabo A10;;;;
03/12/2024;3;251;um cabo conectado na porta da frente;;;;
03/12/2024;3;250;o ramal não está lacrado;;;;
03/12/2024;3;231;ramal não lacrado;;;;
03/12/2024;3;230;ramal não lacrado;;;;
03/12/2024;3;229;ramal não lacrado;;;;
03/12/2024;3;228;ramal não lacrado;;;;
03/12/2024;3;240;máquina não lacrada;;;;
03/12/2024;3;241;ramal não lacrado;;;;
03/12/2024;3;242;PA não lacrada;;;;
03/12/2024;3;243;ramal não lacrado;;;;
03/12/2024;3;68;um cabo conectado na porta da frente;;;;
03/12/2024;3;53;um cabo conectado na porta da frente;;;;
03/12/2024;3;38;um cabo conectado na porta da frente;;;;
