Data;Piso;Posição;Observação
10/1/2025;2;6601;Deslacrado
10/1/2025;2;6599;Deslacrado
10/1/2025;2;6623;Deslacrado
10/1/2025;2;6625;Deslacrado
10/1/2025;2;6618;Deslacrado
10/1/2025;2;6632;Deslacrado
10/1/2025;2;6642;Deslacrado
10/1/2025;2;6641;Deslacrado
10/1/2025;2;6637;Deslacrado
10/1/2025;3;1086;Deslacrado
10/1/2025;3;1079;Deslacrado e USB conectado na frente
10/1/2025;3;1087;Deslacrado
10/1/2025;3;1089;Deslacrado
10/1/2025;3;1080;Deslacrado
10/1/2025;3;1143;Deslacrado
10/1/2025;3;1144;Deslacrado
10/1/2025;3;1148;Deslacrado
10/1/2025;3;1107;Deslacrado
10/1/2025;3;1096;Deslacrado
10/1/2025;3;1095;Deslacrado
10/1/2025;3;1094;Deslacrado
10/1/2025;3;1111;Deslacrado
10/1/2025;3;1119;Deslacrado
10/1/2025;3;1112;Deslacrado
10/1/2025;3;1113;Deslacrado
10/1/2025;3;1122;Deslacrado
10/1/2025;3;1114;Deslacrado
10/1/2025;3;1116;Deslacrado
10/1/2025;3;1117;Deslacrado
10/1/2025;3;1160;Deslacrado
10/1/2025;3;1156;Deslacrado
10/1/2025;3;163;Deslacrado
10/1/2025;3;152;Deslacrado
10/1/2025;3;161;Deslacrado e USB conectado na frente
10/1/2025;3;150;Deslacrado e USB conectado na frente
10/1/2025;3;183;Deslacrado
10/1/2025;3;181;Deslacrado
10/1/2025;3;78;Deslacrado
10/1/2025;3;62;Deslacrado
10/1/2025;3;61;Deslacrado
10/1/2025;3;60;Deslacrado
10/1/2025;3;72;Deslacrado
10/1/2025;3;328;Deslacrado
10/1/2025;3;281;Deslacrado
10/1/2025;3;297;Deslacrado
10/1/2025;3;1375;Deslacrado
10/1/2025;3;1392;Deslacrado
10/1/2025;3;1396;Deslacrado
10/1/2025;3;1439;Deslacrado
10/1/2025;3;1463;Deslacrado
10/1/2025;3;1457;Deslacrado
10/1/2025;3;1448;Deslacrado
10/1/2025;3;1456;Deslacrado
10/1/2025;3;1690;Máquina com recuperação
10/1/2025;3;1442;Deslacrado
10/1/2025;5;3197;Deslacrado
10/1/2025;5;3196;Deslacrado
10/1/2025;5;3205;Deslacrado
10/1/2025;5;3438;Deslacrado
10/1/2025;5;3635;Deslacrado
10/1/2025;5;3636;Deslacrado
10/1/2025;5;3552;Deslacrado
10/1/2025;5;3553;Deslacrado
10/1/2025;5;3558;Deslacrado
10/1/2025;5;3662;Deslacrado
10/1/2025;5;3661;Deslacrado
10/1/2025;5;3660;Deslacrado
10/1/2025;5;3659;Deslacrado
10/1/2025;5;3658;Deslacrado
10/1/2025;5;3142;Deslacrado
10/1/2025;5;3067;Deslacrado USB na frente
10/1/2025;5;3047;Deslacrado
10/1/2025;5;3046;Deslacrado
10/1/2025;5;3045;Deslacrado e USB na frente
10/1/2025;5;3049;Deslacrado e avaya com defeito
10/1/2025;5;3029;Deslacrado
10/1/2025;5;3452;Deslacrado
10/1/2025;5;3025;Deslacrado
10/1/2025;5;3022;Deslacrado
10/1/2025;5;3014;Deslacrado
10/1/2025;5;3013;Deslacrado
10/1/2025;5;3012;Deslacrado
10/1/2025;5;3011;Deslacrado
10/1/2025;5;3040;Deslacrado
10/1/2025;5;3030;Deslacrado
10/1/2025;5;3047;Deslacrado
10/1/2025;5;3046;Deslacrado
10/1/2025;5;3045;Deslacrado e USB conectado na frente
10/1/2025;5;3061;Deslacrado e USB conectado na frente
10/1/2025;5;3058;Deslacrado
10/1/2025;5;3065;Deslacrado e USB conectado na frente
10/1/2025;5;3106;Deslacrado e USB conectado na frente
10/1/2025;6;4715;Dois cabos displayport
10/1/2025;6;4800;Máquina com recuperação
10/1/2025;6;4838;Não possui máquina, teclado e mouse
10/1/2025;6;4819;Carregador conectado
10/1/2025;6;4232;Fone carregando na máquina
10/1/2025;6;4478;Dois cabos de rede
10/1/2025;6;4300;Dois intelbras
10/1/2025;6;4302;Deslacrado
10/1/2025;6;4310;Deslacrado
10/1/2025;6;4650;Calha levantada
10/1/2025;6;4450;USB conectado na frente
10/1/2025;6;4754;PA bagunçada
10/1/2025;6;4752;PA bagunçada e tela invertida
10/1/2025;6;4735;PA com o monitor fora de escala
10/1/2025;6;4817;PA bagunçada
10/1/2025;6;4726;Monitor invertido
10/1/2025;6;4389;Monitor em cima da máquina
10/1/2025;6;4462;USB conectado na frente
10/1/2025;6;4258;Calha levantada
7/1/2025;2;6937;Deslacrado
7/1/2025;2;6890;Deslacrado
7/1/2025;2;6925;Lacre rompido
7/1/2025;2;6887;Deslacrado
7/1/2025;3;1539;Deslacrado
7/1/2025;3;1534;Deslacrado
7/1/2025;3;1537;Deslacrado e USB conectado na frente
7/1/2025;3;1536;Deslacrado
7/1/2025;3;1025;Deslacrado
7/1/2025;3;1017;Deslacrado
7/1/2025;3;1018;Deslacrado
7/1/2025;3;1028;Deslacrado
7/1/2025;3;1080;Deslacrado
7/1/2025;3;1081;Deslacrado
7/1/2025;3;1082;Deslacrado
7/1/2025;3;1090;Deslacrado
7/1/2025;3;1083;Deslacrado
7/1/2025;3;1084;Deslacrado
7/1/2025;3;1093;Deslacrado
7/1/2025;3;1135;Deslacrado
7/1/2025;3;1138;Deslacrado
7/1/2025;3;1157;Deslacrado
7/1/2025;3;1156;Deslacrado
7/1/2025;3;1154;Deslacrado
7/1/2025;3;1117;Deslacrado
7/1/2025;3;1113;Deslacrado
7/1/2025;3;1111;Deslacrado e USB na frente
7/1/2025;3;10;Deslacrado
7/1/2025;3;12;Deslacrado
7/1/2025;3;163;Deslacrado
7/1/2025;3;60;Deslacrado
7/1/2025;3;59;Deslacrado
7/1/2025;3;57;Deslacrado
7/1/2025;3;72;Deslacrado
7/1/2025;3;133;Deslacrado
7/1/2025;3;121;Deslacrado
7/1/2025;3;122;Deslacrado
7/1/2025;3;138;Deslacrado
7/1/2025;3;123;Deslacrado
7/1/2025;3;220;Deslacrado
7/1/2025;3;211;Deslacrado
7/1/2025;3;212;Deslacrado
7/1/2025;3;222;Deslacrado
7/1/2025;3;213;Deslacrado
7/1/2025;3;283;PA sem mouse, erro no HD
7/1/2025;3;275;Deslacrado
7/1/2025;3;274;Deslacrado
7/1/2025;3;261;Deslacrado
7/1/2025;3;262;Deslacrado
7/1/2025;3;273;Deslacrado
7/1/2025;3;260;Deslacrado
7/1/2025;3;372;Deslacrado
7/1/2025;3;371;Deslacrado
7/1/2025;3;270;Deslacrado
7/1/2025;3;259;Deslacrado
7/1/2025;3;258;Deslacrado
7/1/2025;3;257;Deslacrado
7/1/2025;3;252;Deslacrado
7/1/2025;3;253;Deslacrado
7/1/2025;3;264;Deslacrado
7/1/2025;3;265;Deslacrado
7/1/2025;3;307;Deslacrado
7/1/2025;3;306;Deslacrado
7/1/2025;3;1392;Deslacrado
7/1/2025;3;1396;Deslacrado
7/1/2025;3;1439;Deslacrado
7/1/2025;3;1463;Deslacrado
7/1/2025;3;1457;Deslacrado
7/1/2025;3;1448;Deslacrado
7/1/2025;3;1456;Deslacrado
7/1/2025;3;1690;Máquina com recuperação
7/1/2025;3;2580;Deslacrado
7/1/2025;3;2575;Deslacrado
7/1/2025;3;2657;Cabos de rede e fonte de Avaya soltos
7/1/2025;4;2639;Deslacrado
7/1/2025;4;2647;Deslacrado
7/1/2025;4;2646;Deslacrado
7/1/2025;4;2644;Deslacrado
7/1/2025;4;2648;Deslacrado
7/1/2025;5;3185;Deslacrado
7/1/2025;5;3167;Deslacrado
7/1/2025;5;3173;Deslacrado
7/1/2025;5;3164;Deslacrado
7/1/2025;5;3163;Intelbras na frente, pequenas
7/1/2025;5;3161;Deslacrado
7/1/2025;5;3417;Deslacrado - sem mouse
7/1/2025;5;3415;Deslacrado
7/1/2025;5;3414;Deslacrado
7/1/2025;5;3501;Ramal Cisco desligado
7/1/2025;5;3506;Deslacrado
7/1/2025;5;3515;Deslacrado
7/1/2025;5;3518;Lacre rompido
7/1/2025;5;3426;Deslacrado
7/1/2025;5;3084;Deslacrado
7/1/2025;5;3083;Deslacrado
7/1/2025;5;3048;Deslacrado
7/1/2025;5;3033;Deslacrado
7/1/2025;5;3040;Deslacrado
7/1/2025;5;3032;Deslacrado
7/1/2025;5;3075;Deslacrado
7/1/2025;5;3039;Deslacrado
7/1/2025;5;3031;Deslacrado
7/1/2025;5;3035;Deslacrado
7/1/2025;5;3013;Deslacrado
7/1/2025;5;3012;Deslacrado
7/1/2025;5;3011;Deslacrado
7/1/2025;5;3010;Deslacrado
7/1/2025;5;3009;Deslacrado
7/1/2025;5;3008;Deslacrado
7/1/2025;5;3007;Deslacrado
7/1/2025;6;4229;Se conectar os periféricos e cabo de rede
7/1/2025;6;4116;Deslacrado
7/1/2025;6;4393;Deslacrado
7/1/2025;6;4488;Deslacrado
7/1/2025;6;4489;Deslacrado
14/1/2025;2;6656;Sem cabo de extensor
14/1/2025;3;1072;Periférico conectado na frente (teclado e mouse)
14/1/2025;3;1384;Periférico conectado na frente (mouse)
14/1/2025;3;1608;Dois cabos conectados na porta da frente
14/1/2025;3;1418;Um cabo conectado na porta da frente
14/1/2025;3;1419;Um cabo conectado na porta da frente
14/1/2025;3;1428;Um cabo conectado na porta da frente
14/1/2025;3;1394;Sem cabo
14/1/2025;3;287;Um cabo conectado na porta da frente
14/1/2025;3;272;Calha levantada
14/1/2025;3;126;Um cabo conectado na frente
14/1/2025;3;211;Um cabo conectado na porta da frente, não lacrado
14/1/2025;3;210;Não está lacrado
14/1/2025;3;222;Um cabo conectado na porta da frente
14/1/2025;3;90;Um cabo conectado na porta da frente
14/1/2025;3;60;Um cabo conectado na porta da frente
14/1/2025;3;170;Um cabo conectado na porta da frente
14/1/2025;3;180;Um cabo conectado na porta da frente
14/1/2025;3;172;Um cabo conectado na porta da frente
14/1/2025;3;181;Um cabo conectado na porta da frente
14/1/2025;3;183;Um cabo conectado na porta da frente
14/1/2025;3;152;Um cabo conectado na porta da frente
14/1/2025;4;2496;Não está lacrado
14/1/2025;4;2494;Não está lacrado
14/1/2025;4;2493;Não está lacrado
14/1/2025;4;2492;Não está lacrado
14/1/2025;4;2500;Um cabo conectado na porta da frente
14/1/2025;5;4100;Sem teclado e sem mouse
14/1/2025;5;3306;Periférico conectado na frente (teclado)
14/1/2025;5;3326;Periférico conectado na frente (teclado e mouse)
14/1/2025;5;3338;Periférico conectado na frente (mouse)
14/1/2025;5;3011;Um cabo conectado na porta da frente
14/1/2025;5;3119;Não lacrado
14/1/2025;5;3120;Não lacrado
14/1/2025;5;3116;Não lacrado
14/1/2025;5;3136;Um cabo conectado na porta da frente
14/1/2025;5;3121;Um cabo conectado na porta da frente
14/1/2025;5;3029;Um cabo conectado na porta da frente
14/1/2025;5;3038;Não lacrado
14/1/2025;5;3039;Não lacrado
14/1/2025;5;3040;Não lacrado
14/1/2025;5;3033;Não lacrado
14/1/2025;5;3032;Não lacrado
14/1/2025;5;3046;Um cabo conectado na porta da frente
14/1/2025;5;3045;Um cabo conectado na porta da frente
14/1/2025;5;3417;Sem mouse e não está lacrado
14/1/2025;5;3427;Um cabo conectado na porta da frente
14/1/2025;5;3486;Dois cabos conectados na porta da frente, não lacrado
14/1/2025;5;3484;Dois cabos conectados na porta da frente
14/1/2025;5;3493;Não lacrado
14/1/2025;6;4696;Dois cabos conectados na porta da frente
14/1/2025;6;4831;Não está lacrado
14/1/2025;6;4206;Dois cabos conectados na porta da frente
14/1/2025;6;4263;Um cabo conectado na porta da frente
14/1/2025;6;4203;Um cabo conectado na porta da frente
14/1/2025;6;4172;Um cabo conectado na porta da frente
14/1/2025;6;4179;Um cabo conectado na porta da frente
14/1/2025;6;4241;Um cabo conectado na porta da frente
14/1/2025;6;4247;Um cabo conectado na porta da frente
14/1/2025;6;6555;Periférico conectado na frente (headset)
17/01/2025;3;1164;Deslacrado
17/01/2025;3;1175;Deslacrado e USB conectado na frente
17/01/2025;3;1143;Deslacrado
17/01/2025;3;1142;USB conectado na frente
17/01/2025;3;1135;Deslacrado
17/01/2025;3;1086;Deslacrado
17/01/2025;3;1094;Deslacrado
17/01/2025;3;1095;Deslacrado
17/01/2025;3;1096;Deslacrado
